symbol,name,full_name,name_and_type
COBK,colonial financial services,"Colonial Financial Services, Inc.","Colonial Financial Services, Inc. - Common Stock"
COBZ,cobiz financial,CoBiz Financial Inc.,CoBiz Financial Inc. - Common Stock
COCO,corinthian colleges,"Corinthian Colleges, Inc.","Corinthian Colleges, Inc. - Common Stock"
COHR,coherent,"Coherent, Inc.","Coherent, Inc. - Common Stock"
COHU,cohu,"Cohu, Inc.","Cohu, Inc. - Common Stock"
COKE,coca,Coca,Coca-Cola Bottling Co. Consolidated - Common Stock
COLB,columbia banking system,"Columbia Banking System, Inc.","Columbia Banking System, Inc. - Common Stock"
COLM,columbia sportswear,Columbia Sportswear Company,Columbia Sportswear Company - Common Stock
COMM,commscope holding company,"CommScope Holding Company, Inc.","CommScope Holding Company, Inc. - Common Stock"
COMT,ishares commodities select strategy etf,iShares Commodities Select Strategy ETF,iShares Commodities Select Strategy ETF
CONE,cyrusone,CyrusOne Inc,CyrusOne Inc - Common Stock
CONN,conn's,"Conn's, Inc.","Conn's, Inc. - Common Stock"
COOL,majesco entertainment,Majesco Entertainment Company,Majesco Entertainment Company - Common Stock
CORE,core,Core,"Core-Mark Holding Company, Inc. - Common Stock"
CORI,corium international,"Corium International, Inc.","Corium International, Inc. - Common Stock"
CORT,corcept therapeutics,Corcept Therapeutics Incorporated,Corcept Therapeutics Incorporated - Common Stock
COSI,cosi,"Cosi, Inc.","Cosi, Inc. - Common Stock"
COST,costco wholesale,Costco Wholesale Corporation,Costco Wholesale Corporation - Common Stock
COVS,covisint,Covisint Corporation,Covisint Corporation - Common Stock
COWN,cowen group,"Cowen Group, Inc.","Cowen Group, Inc. - Class A Common Stock"
COWNL,cowen group,"Cowen Group, Inc.","Cowen Group, Inc. - 8.25% Senior Notes due 2021"
CPAH,counterpath,CounterPath Corporation,CounterPath Corporation - Common Stock
CPGI,china shengda packaging group,"China Shengda Packaging Group, Inc.","China Shengda Packaging Group, Inc. - Common Stock"
CPHC,canterbury park holding,Canterbury Park Holding Corporation,Canterbury Park Holding Corporation - Common Stock
CPHD,cepheid,CEPHEID,CEPHEID - Common Stock
CPHR,cipher pharmaceuticals,Cipher Pharmaceuticals Inc.,Cipher Pharmaceuticals Inc. - Common Shares
CPIX,cumberland pharmaceuticals,Cumberland Pharmaceuticals Inc.,Cumberland Pharmaceuticals Inc. - Common Stock
CPLA,capella education,Capella Education Company,Capella Education Company - Common Stock
CPLP,capital product partners,Capital Product Partners L.P.,Capital Product Partners L.P. - common units representing limited partner interests
CPRT,copart,"Copart, Inc.","Copart, Inc. - Common Stock"
CPRX,catalyst pharmaceutical partners,"Catalyst Pharmaceutical Partners, Inc.","Catalyst Pharmaceutical Partners, Inc. - Common Stock"
CPSI,computer programs and systems,"Computer Programs and Systems, Inc.","Computer Programs and Systems, Inc. - Common Stock"
CPSS,consumer portfolio services,"Consumer Portfolio Services, Inc.","Consumer Portfolio Services, Inc. - Common Stock"
CPST,capstone turbine,Capstone Turbine Corporation,Capstone Turbine Corporation - Common Stock
CPTA,capitala finance,Capitala Finance Corp.,Capitala Finance Corp. - Common Stock
CPXX,celator pharmaceuticals,Celator Pharmaceuticals Inc.,Celator Pharmaceuticals Inc. - Common Stock
CRAI,"cra international,inc.","CRA International,Inc.","CRA International,Inc. - Common Stock"
CRAY,cray,Cray Inc,Cray Inc - Common Stock
CRDC,cardica,"Cardica, Inc.","Cardica, Inc. - Common Stock"
CRDS,crossroads systems,"Crossroads Systems, Inc.","Crossroads Systems, Inc. - Common Stock"
CRDT,wisdomtree strategic corporate bond fund,WisdomTree Strategic Corporate Bond Fund,WisdomTree Strategic Corporate Bond Fund
CREE,cree,"Cree, Inc.","Cree, Inc. - Common Stock"
CREG,china recycling energy,China Recycling Energy Corporation,China Recycling Energy Corporation - Common Stock
CRESW,cresud s.a.c.i.f. y a.,Cresud S.A.C.I.F. y A.,Cresud S.A.C.I.F. y A. - Warrants 5/22/2015
CRESY,cresud s.a.c.i.f. y a.,Cresud S.A.C.I.F. y A.,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock"
CRIS,curis,"Curis, Inc.","Curis, Inc. - Common Stock"
CRME,cardiome pharma,Cardiome Pharma Corporation,Cardiome Pharma Corporation - Ordinary Shares (Canada)
CRMT,america's car,America's Car,"America's Car-Mart, Inc. - Common Stock"
CRNT,ceragon networks,Ceragon Networks Ltd.,Ceragon Networks Ltd. - Ordinary Shares
CROX,crocs,"Crocs, Inc.","Crocs, Inc. - Common Stock"
CRRC,courier,Courier Corporation,Courier Corporation - Common Stock
CRRS,corporate resource services,"Corporate Resource Services, Inc.","Corporate Resource Services, Inc. - Common Stock"
CRTN,cartesian,"Cartesian, Inc.","Cartesian, Inc. - Common Stock"
CRTO,criteo,Criteo S.A.,Criteo S.A. - American Depositary Shares
CRUS,cirrus logic,"Cirrus Logic, Inc.","Cirrus Logic, Inc. - Common Stock"
CRVL,corvel,CorVel Corp.,CorVel Corp. - Common Stock
CRWN,crown media holdings,"Crown Media Holdings, Inc.","Crown Media Holdings, Inc. - Class A Common Stock"
CRWS,crown crafts,"Crown Crafts, Inc.","Crown Crafts, Inc. - Common Stock"
CRZO,carrizo oil & gas,"Carrizo Oil & Gas, Inc.","Carrizo Oil & Gas, Inc. - Common Stock"
CSBK,clifton bancorp,Clifton Bancorp Inc.,Clifton Bancorp Inc. - Common Stock
CSCD,cascade microtech,"Cascade Microtech, Inc.","Cascade Microtech, Inc. - Common Stock"
CSCO,cisco systems,"Cisco Systems, Inc.","Cisco Systems, Inc. - Common Stock"
CSF,compass emp u.s. discovery 500 enhanced volatility weighted fund,Compass EMP U.S. Discovery 500 Enhanced Volatility Weighted Fund,Compass EMP U.S. Discovery 500 Enhanced Volatility Weighted Fund
CSFL,centerstate banks,"CenterState Banks, Inc.","CenterState Banks, Inc. - Common Stock"
CSGP,costar group,"CoStar Group, Inc.","CoStar Group, Inc. - Common Stock"
CSGS,csg systems international,"CSG Systems International, Inc.","CSG Systems International, Inc. - Common Stock"
CSII,cardiovascular systems,"Cardiovascular Systems, Inc.","Cardiovascular Systems, Inc. - Common Stock"
CSIQ,canadian solar,Canadian Solar Inc.,Canadian Solar Inc. - common shares
CSOD,cornerstone ondemand,"Cornerstone OnDemand, Inc.","Cornerstone OnDemand, Inc. - Common Stock"
CSPI,csp,CSP Inc.,CSP Inc. - Common Stock
CSQ,calamos strategic total return fund,Calamos Strategic Total Return Fund,Calamos Strategic Total Return Fund - Common Stock
CSRE,csr,CSR plc,CSR plc - American Depositary Shares
CSTE,caesarstone sdot,CaesarStone Sdot,CaesarStone Sdot-Yam Ltd. - Ordinary Shares
CSUN,china sunergy co.,"China Sunergy Co., Ltd.","China Sunergy Co., Ltd. - American Depositary Shares, each representing 18 ordinary shares"
CSWC,capital southwest,Capital Southwest Corporation,Capital Southwest Corporation - Common Stock
CTAS,cintas,Cintas Corporation,Cintas Corporation - Common Stock
CTBI,community trust bancorp,"Community Trust Bancorp, Inc.","Community Trust Bancorp, Inc. - Common Stock"
CTCM,ctc media,"CTC Media, Inc.","CTC Media, Inc. - Common Stock"
CTCT,constant contact,"Constant Contact, Inc.","Constant Contact, Inc. - Common Stock"
CTG,computer task group,"Computer Task Group, Incorporated","Computer Task Group, Incorporated - Common Stock"
CTHR,charles & colvard,Charles & Colvard Ltd,Charles & Colvard Ltd - Common Stock
CTIB,cti industries,CTI Industries Corporation,CTI Industries Corporation - Common Stock
CTIC,cti biopharma,CTI BioPharma Corp.,CTI BioPharma Corp. - Common Stock
CTRE,caretrust reit,"CareTrust REIT, Inc.","CareTrust REIT, Inc. - Common Stock"
CTRL,control4,Control4 Corporation,Control4 Corporation - Common Stock
CTRN,citi trends,"Citi Trends, Inc.","Citi Trends, Inc. - Common Stock"
CTRP,ctrip.com international,"Ctrip.com International, Ltd.","Ctrip.com International, Ltd. - American Depositary Shares"
CTRX,catamaran,Catamaran Corporation,Catamaran Corporation - Common Stock
CTSH,cognizant technology solutions,Cognizant Technology Solutions Corporation,Cognizant Technology Solutions Corporation - Class A Common Stock
CTSO,cytosorbents,Cytosorbents Corporation,Cytosorbents Corporation - Common Stock
CTWS,connecticut water service,"Connecticut Water Service, Inc.","Connecticut Water Service, Inc. - Common Stock"
CTXS,citrix systems,"Citrix Systems, Inc.","Citrix Systems, Inc. - Common Stock"
CU,first trust ise global copper index fund,First Trust ISE Global Copper Index Fund,First Trust ISE Global Copper Index Fund
CUBA,the herzfeld caribbean basin fund,"The Herzfeld Caribbean Basin Fund, Inc.","The Herzfeld Caribbean Basin Fund, Inc. - Closed End FUnd"
CUI,cui global,"CUI Global, Inc.","CUI Global, Inc. - Common Stock"
CUNB,cu bancorp (ca,CU Bancorp (CA),CU Bancorp (CA) - Common Stock
CUTR,cutera,"Cutera, Inc.","Cutera, Inc. - Common Stock"
CVBF,cvb financial,CVB Financial Corporation,CVB Financial Corporation - Common Stock
CVCO,cavco industries,"Cavco Industries, Inc.","Cavco Industries, Inc. - Common Stock"
CVCY,central valley community bancorp,Central Valley Community Bancorp,Central Valley Community Bancorp - Common Stock
CVGI,commercial vehicle group,"Commercial Vehicle Group, Inc.","Commercial Vehicle Group, Inc. - Common Stock"
CVGW,calavo growers,"Calavo Growers, Inc.","Calavo Growers, Inc. - Common Stock"
CVLT,commvault systems,"CommVault Systems, Inc.","CommVault Systems, Inc. - Common Stock"
CVLY,codorus valley bancorp,"Codorus Valley Bancorp, Inc","Codorus Valley Bancorp, Inc - Common Stock"
CVTI,covenant transportation group,"Covenant Transportation Group, Inc.","Covenant Transportation Group, Inc. - Class A Common Stock"
CVV,cvd equipment,CVD Equipment Corporation,CVD Equipment Corporation - Common Stock
CWAY,coastway bancorp,"Coastway Bancorp, Inc.","Coastway Bancorp, Inc. - Common Stock"
CWBC,community west bancshares,Community West Bancshares,Community West Bancshares - Common Stock
CWCO,consolidated water co.,Consolidated Water Co. Ltd.,Consolidated Water Co. Ltd. - Ordinary Shares
CWST,casella waste systems,"Casella Waste Systems, Inc.","Casella Waste Systems, Inc. - Class A Common Stock"
CXDC,china xd plastics company,China XD Plastics Company Limited,China XD Plastics Company Limited - Common Stock
CY,cypress semiconductor,Cypress Semiconductor Corporation,Cypress Semiconductor Corporation - Common Stock
CYAN,cyanotech,Cyanotech Corporation,Cyanotech Corporation - Common Stock
CYBE,cyberoptics,CyberOptics Corporation,CyberOptics Corporation - Common Stock
CYBR,cyberark software,CyberArk Software Ltd.,CyberArk Software Ltd. - Ordinary Shares
CYBX,cyberonics,"Cyberonics, Inc.","Cyberonics, Inc. - Common Stock"
CYCC,cyclacel pharmaceuticals,"Cyclacel Pharmaceuticals, Inc.","Cyclacel Pharmaceuticals, Inc. - Common Stock"
CYCCP,cyclacel pharmaceuticals,"Cyclacel Pharmaceuticals, Inc.","Cyclacel Pharmaceuticals, Inc. - 6% Convertible Preferred Stock"
CYHHZ,community health systems,"Community Health Systems, Inc.","Community Health Systems, Inc. - Series A Contingent Value Rights"
CYNO,cynosure,"Cynosure, Inc.","Cynosure, Inc. - Class A Common Stock"
CYOU,changyou.com,Changyou.com Limited,"Changyou.com Limited - American Depositary Shares, each representing two Class A ordinary shares"
CYRN,cyren,CYREN Ltd.,CYREN Ltd. - Ordinary Shares
CYTK,cytokinetics,"Cytokinetics, Incorporated","Cytokinetics, Incorporated - Common Stock"
CYTR,cytrx,CytRx Corporation,CytRx Corporation - Common Stock
CYTX,cytori therapeutics,Cytori Therapeutics Inc,Cytori Therapeutics Inc - Common Stock
CZFC,citizens first,Citizens First Corporation,Citizens First Corporation - Common Stock
CZNC,citizens & northern,Citizens & Northern Corp,Citizens & Northern Corp - Common Stock
CZR,caesars entertainment,Caesars Entertainment Corporation,Caesars Entertainment Corporation - Common Stock
CZWI,citizens community bancorp,"Citizens Community Bancorp, Inc.","Citizens Community Bancorp, Inc. - Common Stock"
DAEG,daegis,Daegis Inc,Daegis Inc - Common Stock
DAIO,data i/o,Data I/O Corporation,Data I/O Corporation - Common Stock
DAKT,daktronics,"Daktronics, Inc.","Daktronics, Inc. - Common Stock"
DARA,dara biosciences,"DARA Biosciences, Inc.","DARA Biosciences, Inc. - Common Stock"
DATE,jiayuan.com international,Jiayuan.com International Ltd.,Jiayuan.com International Ltd. - American Depositary Shares
DAVE,famous dave's of america,"Famous Dave's of America, Inc.","Famous Dave's of America, Inc. - Common Stock"
DAX,recon capital dax germany etf,Recon Capital DAX Germany ETF,Recon Capital DAX Germany ETF
DBVT,dbv technologies,DBV Technologies S.A.,DBV Technologies S.A. - American Depositary Shares
DCIX,diana containerships,Diana Containerships Inc.,Diana Containerships Inc. - Common Shares
DCOM,dime community bancshares,"Dime Community Bancshares, Inc.","Dime Community Bancshares, Inc. - Common Stock"
DCTH,delcath systems,"Delcath Systems, Inc.","Delcath Systems, Inc. - Common Stock"
DENN,denny's,Denny's Corporation,Denny's Corporation - Common Stock
DEPO,depomed,"Depomed, Inc.","Depomed, Inc. - Common Stock"
DERM,dermira,"Dermira, Inc.","Dermira, Inc. - Common Stock"
DEST,destination maternity,Destination Maternity Corporation,Destination Maternity Corporation - Common Stock
DFRG,del frisco's restaurant group,"Del Frisco's Restaurant Group, Inc.","Del Frisco's Restaurant Group, Inc. - Common Stock"
DFVL,barclays,Barclays PLC,Barclays PLC - iPath US Treasury 5 Year Bull ETN
DFVS,barclays,Barclays PLC,Barclays PLC - iPath US Treasury 5-year Bear ETN
DGAS,delta natural gas company,"Delta Natural Gas Company, Inc.","Delta Natural Gas Company, Inc. - Common Stock"
DGICA,donegal group,"Donegal Group, Inc.","Donegal Group, Inc. - Class A Common Stock"
DGICB,donegal group,"Donegal Group, Inc.","Donegal Group, Inc. - Class B Common Stock"
DGII,digi international,Digi International Inc.,Digi International Inc. - Common Stock
DGLD,credit suisse,Credit Suisse AG,Credit Suisse AG - VelocityShares 3x Inverse Gold ETN
DGLY,digital ally,"Digital Ally, Inc.","Digital Ally, Inc. - Common Stock"
DGRE,wisdomtree emerging markets dividend growth fund,WisdomTree Emerging Markets Dividend Growth Fund,WisdomTree Emerging Markets Dividend Growth Fund
DGRS,wisdomtree u.s. smallcap dividend growth fund,WisdomTree U.S. SmallCap Dividend Growth Fund,WisdomTree U.S. SmallCap Dividend Growth Fund
DGRW,wisdomtree u.s. dividend growth fund,WisdomTree U.S. Dividend Growth Fund,WisdomTree U.S. Dividend Growth Fund
DHIL,diamond hill investment group,"Diamond Hill Investment Group, Inc.","Diamond Hill Investment Group, Inc. - Class A Common Stock"
DHRM,dehaier medical systems,Dehaier Medical Systems Limited,Dehaier Medical Systems Limited - Common Stock
DIOD,diodes,Diodes Incorporated,Diodes Incorporated - Common Stock
DISCA,discovery communications,"Discovery Communications, Inc.","Discovery Communications, Inc. - Series A Common Stock"
DISCB,discovery communications,"Discovery Communications, Inc.","Discovery Communications, Inc. - Series B Common Stock"
DISCK,discovery communications,"Discovery Communications, Inc.","Discovery Communications, Inc. - Series C Common Stock"
DISH,dish network,DISH Network Corporation,DISH Network Corporation - Class A Common Stock
DJCO,daily journal corp. (s.c.,Daily Journal Corp. (S.C.),Daily Journal Corp. (S.C.) - Common Stock
DLBL,barclays,Barclays PLC,Barclays PLC - iPath US Treasury Long Bond Bull ETN
DLBS,barclays,Barclays PLC,Barclays PLC - iPath US Treasury Long Bond Bear ETN
DLHC,dlh holdings,DLH Holdings Corp.,DLH Holdings Corp. - Common Stock
DLTR,dollar tree,"Dollar Tree, Inc.","Dollar Tree, Inc. - Common Stock"
DMLP,dorchester minerals,"Dorchester Minerals, L.P.","Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests"
DMND,diamond foods,"Diamond Foods, Inc.","Diamond Foods, Inc. - Common Stock"
DMRC,digimarc,Digimarc Corporation,Digimarc Corporation - Common Stock
DNBF,dnb financial,DNB Financial Corp,DNB Financial Corp - Common Stock
DNKN,dunkin' brands group,"Dunkin' Brands Group, Inc.","Dunkin' Brands Group, Inc. - Common Stock"
DORM,dorman products,"Dorman Products, Inc.","Dorman Products, Inc. - Common Stock"
DOVR,dover saddlery,"Dover Saddlery, Inc.","Dover Saddlery, Inc. - Common Stock"
DOX,amdocs,Amdocs Limited,Amdocs Limited - Ordinary Shares
DPRX,dipexium pharmaceuticals,"Dipexium Pharmaceuticals, Inc.","Dipexium Pharmaceuticals, Inc. - Common Stock"
DRAD,digirad,Digirad Corporation,Digirad Corporation - Common Stock
DRAM,dataram,Dataram Corporation,Dataram Corporation - Common Stock
DRIV,digital river,"Digital River, Inc.","Digital River, Inc. - Common Stock"
DRNA,dicerna pharmaceuticals,"Dicerna Pharmaceuticals, Inc.","Dicerna Pharmaceuticals, Inc. - Common Stock"
DRRX,durect,DURECT Corporation,DURECT Corporation - Common Stock
DRWI,dragonwave,DragonWave Inc,DragonWave Inc - Common Shares
DRWIW,dragonwave,DragonWave Inc,DragonWave Inc - Warrants
DRYS,dryships,DryShips Inc.,DryShips Inc. - Common Stock
DSCI,derma sciences,"Derma Sciences, Inc.","Derma Sciences, Inc. - Common Stock"
DSCO,discovery laboratories,"Discovery Laboratories, Inc.","Discovery Laboratories, Inc. - Common Stock"
DSGX,the descartes systems group,The Descartes Systems Group Inc.,The Descartes Systems Group Inc. - Common Stock
DSKX,ds healthcare group,"DS Healthcare Group, Inc.","DS Healthcare Group, Inc. - Common Stock"
DSKY,idreamsky technology,iDreamSky Technology Limited,iDreamSky Technology Limited - American Depositary Shares
DSLV,credit suisse,Credit Suisse AG,Credit Suisse AG - VelocityShares 3x Inverse Silver ETN
DSPG,dsp group,"DSP Group, Inc.","DSP Group, Inc. - Common Stock"
DSWL,deswell industries,"Deswell Industries, Inc.","Deswell Industries, Inc. - Common Shares"
DTLK,datalink,Datalink Corporation,Datalink Corporation - Common Stock
DTSI,dts,"DTS, Inc.","DTS, Inc. - Common Stock"
DTUL,barclays,Barclays PLC,Barclays PLC - iPath US Treasury 2 Yr Bull ETN
DTUS,barclays,Barclays PLC,Barclays PLC - iPath US Treasury 2-year Bear ETN
DTV,directv,DIRECTV,DIRECTV - Common Stock
DTYL,barclays,Barclays PLC,Barclays PLC - iPath US Treasury 10 Year Bull ETN
DTYS,barclays,Barclays PLC,Barclays PLC - iPath US Treasury 10-year Bear ETN
DVAX,dynavax technologies,Dynavax Technologies Corporation,Dynavax Technologies Corporation - Common Stock
DVCR,diversicare healthcare services,Diversicare Healthcare Services Inc.,Diversicare Healthcare Services Inc. - Common Stock
DWA,dreamworks animation skg,"Dreamworks Animation SKG, Inc.","Dreamworks Animation SKG, Inc. - Class A Common Stock"
DWAT,arrow dwa tactical etf,Arrow DWA Tactical ETF,Arrow DWA Tactical ETF
DWCH,datawatch,Datawatch Corporation,Datawatch Corporation - Common Stock
DWSN,dawson geophysical,Dawson Geophysical Company,Dawson Geophysical Company - Common Stock
DXCM,dexcom,"DexCom, Inc.","DexCom, Inc. - Common Stock"
DXGE,wisdomtree germany hedged equity fund,WisdomTree Germany Hedged Equity Fund,WisdomTree Germany Hedged Equity Fund
DXJS,wisdomtree japan hedged smallcap equity fund,WisdomTree Japan Hedged SmallCap Equity Fund,WisdomTree Japan Hedged SmallCap Equity Fund
DXKW,wisdomtree korea hedged equity fund,WisdomTree Korea Hedged Equity Fund,WisdomTree Korea Hedged Equity Fund
DXLG,destination xl group,"Destination XL Group, Inc.","Destination XL Group, Inc. - Common Stock"
DXM,dex media,"Dex Media, Inc.","Dex Media, Inc. - Common Stock"
DXPE,dxp enterprises,"DXP Enterprises, Inc.","DXP Enterprises, Inc. - Common Stock"
DXPS,wisdomtree united kingdom hedged equity fund,WisdomTree United Kingdom Hedged Equity Fund,WisdomTree United Kingdom Hedged Equity Fund
DXYN,the dixie group,"The Dixie Group, Inc.","The Dixie Group, Inc. - Common Stock"
DYAX,dyax,Dyax Corp.,Dyax Corp. - Common Stock
DYNT,dynatronics,Dynatronics Corporation,Dynatronics Corporation - Common Stock
DYSL,dynasil corporation of america,Dynasil Corporation of America,Dynasil Corporation of America - Common Stock
EA,electronic arts,Electronic Arts Inc.,Electronic Arts Inc. - Common Stock
EAC,erickson,Erickson Incorporated,Erickson Incorporated - Common Stock
EARS,auris medical holding,Auris Medical Holding AG,Auris Medical Holding AG - Common Shares
EBAY,ebay,eBay Inc.,eBay Inc. - Common Stock
EBIO,eleven biotherapeutics,"Eleven Biotherapeutics, Inc.","Eleven Biotherapeutics, Inc. - Common Stock"
EBIX,ebix,"Ebix, Inc.","Ebix, Inc. - Common Stock"
EBMT,eagle bancorp montana,"Eagle Bancorp Montana, Inc.","Eagle Bancorp Montana, Inc. - Common Stock"
EBSB,meridian bancorp,"Meridian Bancorp, Inc.","Meridian Bancorp, Inc. - Common Stock"
EBTC,enterprise bancorp,Enterprise Bancorp Inc,Enterprise Bancorp Inc - Common Stock
ECHO,echo global logistics,"Echo Global Logistics, Inc.","Echo Global Logistics, Inc. - Common Stock"
ECOL,us ecology,"US Ecology, Inc.","US Ecology, Inc. - Common Stock"
ECPG,encore capital group,Encore Capital Group Inc,Encore Capital Group Inc - Common Stock
ECTE,echo therapeutics,"Echo Therapeutics, Inc.","Echo Therapeutics, Inc. - Common Stock"
ECYT,endocyte,"Endocyte, Inc.","Endocyte, Inc. - Common Stock"
EDAP,edap tms,EDAP TMS S.A.,"EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share"
EDGW,edgewater technology,"Edgewater Technology, Inc.","Edgewater Technology, Inc. - Common Stock"
EDS,exceed company,Exceed Company Ltd.,Exceed Company Ltd. - Common Stock
EDUC,educational development,Educational Development Corporation,Educational Development Corporation - Common Stock
EEFT,euronet worldwide,"Euronet Worldwide, Inc.","Euronet Worldwide, Inc. - Common Stock"
EEI,ecology and environment,"Ecology and Environment, Inc.","Ecology and Environment, Inc. - Class A Common Stock"
EEMA,ishares msci emerging markets asia index fund,iShares MSCI Emerging Markets Asia Index Fund,iShares MSCI Emerging Markets Asia Index Fund
EEME,ishares msci emerging markets emea index fund,iShares MSCI Emerging Markets EMEA Index Fund,iShares MSCI Emerging Markets EMEA Index Fund
EEML,ishares msci emerging markets latin america index fund,iShares MSCI Emerging Markets Latin America Index Fund,iShares MSCI Emerging Markets Latin America Index Fund
EFII,electronics for imaging,"Electronics for Imaging, Inc.","Electronics for Imaging, Inc. - Common Stock"
EFOI,energy focus,"Energy Focus, Inc.","Energy Focus, Inc. - Common Stock"
EFSC,enterprise financial services,Enterprise Financial Services Corporation,Enterprise Financial Services Corporation - Common Stock
EFUT,efuture information technology,eFuture Information Technology Inc.,eFuture Information Technology Inc. - Ordinary Shares
EGAN,egain,eGain Corporation,eGain Corporation - Common Stock
EGBN,eagle bancorp,"Eagle Bancorp, Inc.","Eagle Bancorp, Inc. - Common Stock"
EGHT,8x8,8x8 Inc,8x8 Inc - Common Stock
EGLE,eagle bulk shipping,Eagle Bulk Shipping Inc.,Eagle Bulk Shipping Inc. - Common Stock
EGLT,egalet,Egalet Corporation,Egalet Corporation - Common Stock
EGOV,nic,NIC Inc.,NIC Inc. - Common Stock
EGRW,ishares msci emerging markets growth index fund,iShares MSCI Emerging Markets Growth Index Fund,iShares MSCI Emerging Markets Growth Index Fund
EGRX,eagle pharmaceuticals,"Eagle Pharmaceuticals, Inc.","Eagle Pharmaceuticals, Inc. - Common Stock"
EGT,entertainment gaming asia,Entertainment Gaming Asia Incorporated,Entertainment Gaming Asia Incorporated - Common Stock
EHTH,ehealth,"eHealth, Inc.","eHealth, Inc. - Common Stock"
EIGI,endurance international group holdings,"Endurance International Group Holdings, Inc.","Endurance International Group Holdings, Inc. - Common Stock"
ELGX,endologix,"Endologix, Inc.","Endologix, Inc. - Common Stock"
ELNK,earthlink holdings,EarthLink Holdings Corp.,EarthLink Holdings Corp. - Common Stock
ELON,echelon,Echelon Corporation,Echelon Corporation - Common Stock
ELOS,syneron medical,Syneron Medical Ltd.,Syneron Medical Ltd. - Ordinary Shares
ELRC,electro rent,Electro Rent Corporation,Electro Rent Corporation - Common Stock
ELSE,electro,Electro,"Electro-Sensors, Inc. - Common Stock"
ELTK,eltek,Eltek Ltd.,Eltek Ltd. - Ordinary Shares
EMCB,wisdomtree emerging markets corporate bond fund,WisdomTree Emerging Markets Corporate Bond Fund,WisdomTree Emerging Markets Corporate Bond Fund
EMCF,emclaire financial,Emclaire Financial Corp,Emclaire Financial Corp - Common Stock
EMCG,wisdomtree emerging markets consumer growth fund,WisdomTree Emerging Markets Consumer Growth Fund,WisdomTree Emerging Markets Consumer Growth Fund
EMCI,emc insurance group,EMC Insurance Group Inc.,EMC Insurance Group Inc. - Common Stock
EMDI,ishares msci emerging markets consumer discrectionary sector index fund,iShares MSCI Emerging Markets Consumer Discrectionary Sector Index Fund,iShares MSCI Emerging Markets Consumer Discrectionary Sector Index Fund
EMEY,ishares msci emerging markets energy sector capped index fund,iShares MSCI Emerging Markets Energy Sector Capped Index Fund,iShares MSCI Emerging Markets Energy Sector Capped Index Fund
EMIF,ishares s&p emerging markets infrastructure index fund,iShares S&P Emerging Markets Infrastructure Index Fund,iShares S&P Emerging Markets Infrastructure Index Fund
EMITF,elbit imaging,Elbit Imaging Ltd.,Elbit Imaging Ltd. - Ordinary Shares
EMKR,emcore,EMCORE Corporation,EMCORE Corporation - Common Stock
EML,eastern company (the,Eastern Company (The),Eastern Company (The) - Common Stock
EMMS,emmis communications,Emmis Communications Corporation,Emmis Communications Corporation - Class A Common Stock
EMMSP,emmis communications,Emmis Communications Corporation,Emmis Communications Corporation - 6.25% Series A Cumulative Convertible Preferred Stock
ENDP,endo international,Endo International plc,Endo International plc - Ordinary Shares
ENFC,entegra financial,Entegra Financial Corp.,Entegra Financial Corp. - Common Stock
ENG,englobal,ENGlobal Corporation,ENGlobal Corporation - Common Stock
ENOC,enernoc,"EnerNOC, Inc.","EnerNOC, Inc. - Common Stock"
ENPH,enphase energy,"Enphase Energy, Inc.","Enphase Energy, Inc. - Common Stock"
ENSG,the ensign group,"The Ensign Group, Inc.","The Ensign Group, Inc. - Common Stock"
ENT,global eagle entertainment,Global Eagle Entertainment Inc.,Global Eagle Entertainment Inc. - Common Stock
ENTA,enanta pharmaceuticals,"Enanta Pharmaceuticals, Inc.","Enanta Pharmaceuticals, Inc. - Common Stock"
ENTG,entegris,"Entegris, Inc.","Entegris, Inc. - Common Stock"
ENTR,entropic communications,"Entropic Communications, Inc.","Entropic Communications, Inc. - Common Stock"
ENVI,envivio,"Envivio, Inc.","Envivio, Inc. - Common Stock"
ENZN,enzon pharmaceuticals,"Enzon Pharmaceuticals, Inc.","Enzon Pharmaceuticals, Inc. - Common Stock"
ENZY,enzymotec,Enzymotec Ltd.,Enzymotec Ltd. - Ordinary Shares
EOPN,e2open,"E2open, Inc.","E2open, Inc. - Common Stock"
EPAX,ambassadors group,"Ambassadors Group, Inc.","Ambassadors Group, Inc. - Common Stock"
EPAY,bottomline technologies,"Bottomline Technologies, Inc.","Bottomline Technologies, Inc. - Common Stock"
EPIQ,epiq systems,"EPIQ Systems, Inc.","EPIQ Systems, Inc. - Common Stock"
EPRS,epirus biopharmaceuticals,"EPIRUS Biopharmaceuticals, Inc.","EPIRUS Biopharmaceuticals, Inc. - Common Stock"
EPZM,epizyme,"Epizyme, Inc.","Epizyme, Inc. - Common Stock"
EQIX,equinix,"Equinix, Inc.","Equinix, Inc. - Common Stock"
ERI,eldorado resorts,"Eldorado Resorts, Inc.","Eldorado Resorts, Inc. - Common Stock"
ERIC,ericsson,Ericsson,Ericsson - ADS each representing 1 underlying Class B share
ERIE,erie indemnity,Erie Indemnity Company,Erie Indemnity Company - Class A Common Stock
ERII,energy recovery,"Energy Recovery, Inc.","Energy Recovery, Inc. - Common Stock"
